"Key","Description","English","Russian"
"DVSeasons/UI.Title","","Dynamic Seasons — smooth seasonal transitions","Dynamic Seasons — плавные времена года"
"DVSeasons/Settings.MuteRain","","Mute rain audio during winter snowfall","Без звука дождя во время зимнего снегопада"
"DVSeasons/Settings.SeasonalWeather","","Seasonal clouds, fog and precipitation","Сезонные облачность, туман и осадки"
"DVSeasons/Settings.SeasonalDaylight","","Seasonal daylight duration (6–18 hours)","Сезонная длина светового дня (6–18 часов)"
"DVSeasons/Settings.DisableWinterThunder","","Disable thunder and lightning in winter","Отключать гром и молнии зимой"
"DVSeasons/Settings.NewSnow","","New snow system","Новая система снега"
"DVSeasons/Settings.NewSnowHelp","","On: dynamic snow. Off: seasonal textures without snow-cover simulation.","Включено — динамический снег. Выключено — сезонные текстуры без расчёта снежного покрова."
"DVSeasons/Settings.NativeTreeLod","","Native tree detail in winter (faster)","Штатная детализация деревьев зимой (быстрее)"
"DVSeasons/Settings.Insects","","Insects and their sounds","Насекомые и их звуки"
"DVSeasons/Settings.WaterIce","","Freeze world water in winter","Замерзание воды зимой"
"DVSeasons/Settings.FreezePuddles","","Freeze winter puddles while keeping surface wetness","Замораживать лужи зимой, сохраняя влажность"
"DVSeasons/Settings.AutomaticCycle","","Automatic season cycle","Автоматическая смена сезонов"
"DVSeasons/Settings.RandomTransition","","Random transition duration (1–5 game days)","Случайная длительность перехода (1–5 игровых дней)"
"DVSeasons/Action.Next","","Next","Следующий"
"DVSeasons/Settings.RespectWetness","","Do not replace a wetness override already set by another mod","Не перехватывать уже установленный другим модом override мокроты"
"DVSeasons/Status.NoRuntime","","Runtime not created","Runtime не создан"
"DVSeasons/Status.Local","","Local mode","Локальный режим"
"DVSeasons/Status.SinglePlayer","","Multiplayer available — single-player session","Multiplayer доступен — одиночная сессия"
"DVSeasons/Status.Host","","Multiplayer: the host controls seasons and weather","Multiplayer: хост управляет сезонами и погодой"
"DVSeasons/Status.Client","","Multiplayer: season and weather synchronized with the host","Multiplayer: сезон и погода синхронизированы с хостом"
"DVSeasons/Status.NoWeather","","Weather unavailable","Погода недоступна"
"DVSeasons/Status.WeatherReady","","Weather system connected","Система погоды подключена"
"DVSeasons/Status.WaitingWeather","","Waiting for the world and weather to load","Ожидание загрузки мира и погоды"
"DVSeasons/Season.Spring","","Spring","Весна"
"DVSeasons/Season.Summer","","Summer","Лето"
"DVSeasons/Season.Autumn","","Autumn","Осень"
"DVSeasons/Season.Winter","","Winter","Зима"
"DVSeasons/Status.Season","","Current: {0} → {1}, transition {2:F0}%","Сейчас: {0} → {1}, переход {2:F0}%"
"DVSeasons/Status.Snow","","Snow: {0:F0}%, temperature: {1:F1} °C","Снег: {0:F0}%, температура: {1:F1} °C"
"DVSeasons/Settings.DaysPerSeason","","Days per season: {0:F0}","Дней на сезон: {0:F0}"
"DVSeasons/Settings.CurrentTransitionDays","","Current transition duration: {0:F0} days","Текущая длительность перехода: {0:F0} дн."
"DVSeasons/Settings.TransitionDays","","Transition duration: {0:F0} days","Длительность перехода: {0:F0} дн."
"DVSeasons/Settings.SnowfallDensity","","Snowfall density: {0:F2}","Плотность снегопада: {0:F2}"
"DVSeasons/Settings.WetRailEquivalent","","Wet-rail equivalent: {0:F2} (0.50 = vanilla minimum adhesion)","Эквивалент мокрого рельса: {0:F2} (0,50 = штатный минимум сцепления)"
"DVSeasons/Settings.LeafLimit","","Leaf population limit: {0}","Предел количества листьев: {0}"
"DVSeasons/Settings.Unlimited","","Unlimited","Без ограничений"
"DVSeasons/Settings.WinterWindows","","Window frost, thawing and condensation","Обмерзание, оттаивание и запотевание стёкол"
"DVSeasons/Heater.Off","","Heater: off","Отопитель: выключен"
"DVSeasons/Heater.On","","Heater: on","Отопитель: включён"
"DVSeasons/Settings.SnowGlare","","Snow brightness reduction: {0:F0}% (0 = original)","Снижение яркости снега: {0:F0}% (0 — прежний вид)"
